2500 5000
1973 2386 376424507
2023 352 -483594218
555 1279 372635374
2307 1840 763090350
1767 653 -96536641
282 57 224056495
218 1936 -391336928
1758 606 -16088397
1309 2473 243879392
1484 1466 554543065
2025 2038 -343179384
2459 375 -332136995
707 1712 -336354454
497 228 353642013
1126 2413 275279446
1697 100 896982847
1825 1082 926372778
341 1979 -282499612
1288 520 -149433209
64 2463 -12438225
1101 778 495249764
1048 1503 90912484
2039 817 -89642141
286 479 310319486
1321 617 380905251
13 1927 899502533
1510 934 492233290
2045 1165 840279498
753 1093 -321360927
1278 335 546443169
147 1323 -18829146
1842 1965 -47752951
114 1954 -197318981
773 2344 -485259974
1393 801 -369014090
1065 1765 527984281
2367 469 -377231121
1166 1167 312567188
1997 2031 203051854
1008 685 92065865
312 1867 -302968376
170 1382 917781629
537 709 764888388
1866 568 -102704257
1220 2473 199042978
1067 1407 197520097
990 1092 450996949
1000 111 -75782319
1677 1777 -22790367
719 1637 2593804
2279 69 962264231
297 92 435432175
1127 2474 710654394
1132 1185 191482739
1552 432 387586728
2381 312 886472097
1400 1107 -303089763
1269 1952 7965346
629 2410 733175957
1620 1684 329210305
19 2391 187012250
1855 1431 72948496
1873 713 -495379846
1977 2007 111910324
9 423 -290192280
1922 1000 160205911
1150 2182 547898864
873 941 947051058
2105 787 -370660875
572 1921 299201674
2056 1494 120341055
2410 2267 340961291
1939 1556 868842608
2405 1532 44734981
176 395 -243183966
1432 822 -194169956
943 2070 -306704434
148 1387 895509777
913 414 276929883
1688 358 993460004
409 292 -49864410
1955 1172 -433992112
596 660 197237359
699 1557 -322282647
2194 837 326783446
2069 1549 210445133
1574 971 441523354
2336 2123 812147017
219 801 -156236315
893 2243 -391656291
1380 1368 590817619
299 1893 44285052
2173 2287 -235190695
1172 82 -53656999
1838 2399 -426267638
313 955 534511017
60 885 944628818
676 1534 539850533
2101 2183 -310840643
2236 87 -100261426
2475 1905 -310457471
2054 396 -466749382
823 767 884212041
1073 863 -39634275
1812 199 73169177
1561 2329 173806472
625 1450 643984374
2061 788 719403732
188 516 870251452
637 1905 -379964761
998 2392 -73331067
26 491 316617640
1490 554 853586782
2162 1793 836184609
1391 220 264573937
342 1980 631934563
536 521 477162438
1427 1912 977850
973 399 600137631
2237 1388 420351276
474 1048 349729817
109 701 183109976
1796 2306 31837238
2356 1455 793313442
1307 2460 -283422667
1184 2401 -9282521
1826 982 -426799163
822 2151 -484161440
1313 2112 993476490
512 964 235808555
2447 58 -402617463
1190 1989 -312344017
730 2193 -330909300
2403 1568 774645208
500 1028 408935799
2186 1982 635015731
71 1811 -489079293
59 1011 720723578
2405 642 496030339
2254 1271 -221181445
443 1261 525474955
1346 404 853692822
2316 766 -318964695
26 1384 773824216
1509 2390 22713620
37 249 776527872
698 100 -142782535
590 89 105527934
2043 2195 -124906192
600 1301 555309731
855 2425 947224599
80 499 776298601
2391 1153 262718265
1934 403 756230225
1159 738 934832052
715 532 60278142
309 608 839175748
1049 908 -214420999
1669 1941 -22225307
1653 1039 244359165
2107 1051 683475014
1070 697 -334239372
1142 39 57485649
675 1244 -97825561
2466 1581 -126511717
406 1571 -397500301
1772 1404 -251006582
1209 820 566689764
731 777 926506151
1891 1242 4528669
2345 1582 296370981
17 2483 -201518808
329 2022 692050403
319 756 233291226
638 312 556127557
2094 1564 388335095
2267 670 829285109
2318 1410 -36634087
1755 2260 -355070211
1876 2051 703529641
2103 747 553276665
1693 1814 442585804
1041 2422 -122133962
228 221 556950729
2391 332 847964630
699 632 910819186
2429 1951 76126305
617 197 386216228
1872 1469 132850678
306 345 -206272750
1507 2012 240763776
1401 1762 154210397
2223 2493 -459422222
113 739 126729393
1471 2291 -351812035
1977 1295 -154846292
1457 564 566235475
1309 2384 157675269
1426 1912 4595257
1770 814 -267577389
1558 10 731150400
46 1514 338506464
2448 180 563218293
1246 1586 -159541059
1395 2031 104708370
1623 113 744431088
1144 2478 -124207552
1758 240 633130920
1388 2409 422288319
1744 2212 17596542
109 1826 71236633
2438 1748 -184493298
66 2004 780291975
2444 489 246323539
2335 1813 419924769
30 1412 181315083
1936 1550 -40880974
939 2189 718888234
313 421 -465025757
503 1656 619687094
1051 2309 -344232417
243 290 393807515
1305 209 735897071
1972 2215 -233606027
1539 167 49112707
1597 203 368189724
2387 1824 -459284530
2247 1484 -104442228
468 128 687122899
2317 2149 64638205
137 2168 171744270
1989 240 219237166
482 829 785639898
828 1166 164500716
239 860 730688737
770 2444 570735635
583 2338 425842024
1549 1333 414121222
863 1462 -218196729
1184 1749 -101133729
2376 2271 162200708
2446 253 150155565
717 1953 384852817
1529 2389 198618452
460 583 953455855
1929 1470 -184195384
1527 529 662463564
1820 768 83547863
605 2211 540185093
1555 1254 -346459131
867 1057 514295525
1664 504 832493422
1101 404 291319307
713 241 -360677440
1298 466 550075095
1064 1624 451500532
2173 1266 386219365
2474 324 253904390
2392 1408 -182812506
516 750 350844866
464 1688 701541290
1991 1986 630896921
2114 1692 821590590
1478 1262 -67756028
594 106 556213947
2215 418 528178086
1506 2436 112484562
1809 1480 684840356
2079 1052 355147695
2183 1400 -260525070
1527 1558 519217520
875 1497 280487738
1481 1083 595376384
94 173 -57879396
1998 2420 730425640
502 273 -494928222
988 1965 949883525
368 159 -391914210
496 1387 36864935
474 1462 234293850
507 1668 -16102437
1596 1593 53027124
1203 832 506122062
978 1215 838844695
1237 55 810893252
1667 2118 -239080689
1373 1007 445960293
1114 1581 576019466
2054 140 -3133900
471 839 -43442160
1198 1220 -490052923
1158 303 793953932
1507 750 -278808248
2399 1408 -304583460
460 1633 498649280
449 192 -28588258
633 1729 654353697
1957 1371 -389299641
803 1609 681288606
1173 1224 -37068393
2464 157 478886128
2246 1130 164079649
1726 1213 -220445995
898 1944 -83810569
2148 1744 -456935484
499 187 225043088
1900 1547 -148305616
1880 945 845417685
504 914 -133326474
1788 476 -21134620
1786 974 360301227
1444 2225 56372972
212 2070 225009008
698 213 765383770
2267 1683 126625128
2362 1504 -328196048
2466 1729 -233168901
1356 159 573457820
1257 1706 538347740
355 1375 273408148
1365 2341 -248130227
478 531 425871224
84 1204 219068568
230 1128 410543338
2268 2001 95784343
911 615 -273073423
2354 2018 424216071
1248 833 201216855
1703 2382 -469358106
1935 1056 58742965
439 516 836517660
1844 10 336030628
1911 2402 -359456749
2347 784 -356217062
786 463 176453429
1596 1565 -73069645
901 271 513015513
2443 873 212867529
2273 1024 908064619
237 532 552284025
1793 2449 -348220784
418 763 -262662269
1484 2196 122575492
1357 231 966409898
181 1125 901213182
189 2301 52319124
248 1630 -268293362
222 670 188837648
959 1031 -242886191
75 997 -186521796
1752 1152 992546296
2103 423 -29123925
87 89 827515391
775 2246 -373855503
2028 2042 785547025
2130 1385 -376031885
2030 963 859401880
2331 341 985613640
290 1321 694467257
346 1719 -169948932
648 244 -200816966
2285 548 579966000
1105 2325 9939694
1466 1605 -257488660
1824 1459 46803175
2102 87 -479293841
522 882 351593164
414 2070 442251915
870 1062 734020981
57 2446 722136495
1997 1352 -311843491
195 2357 -489657758
1901 650 76891140
649 1155 190911281
1599 2204 -436193711
404 825 -467292845
713 1358 661115680
675 2440 172835624
1054 2344 -50131435
829 228 -451874213
1534 698 -20458609
462 2240 922061259
185 995 965318348
423 1870 335465555
935 943 324227857
1001 265 984696013
2253 537 996183532
37 1491 -410785817
1054 2170 -29051623
2447 1916 -426595422
939 469 -158085986
1084 664 75262963
2325 747 -279972801
680 930 129535016
929 585 -31432711
698 1119 733128199
1360 122 82117880
2030 92 -463045262
930 1067 645107216
628 698 68136664
1688 834 -171620288
2312 1873 -231530786
334 1078 -284754369
1542 450 110896845
1656 2302 -52248984
1080 1 961401848
1416 75 25100023
540 1696 -478122525
2026 102 343908014
2441 1570 311055899
2359 301 84563190
211 149 225507674
470 2144 280144963
2372 1384 839700911
1804 346 880262473
1077 2233 -389113797
1966 2079 763462551
1797 1694 -223701783
772 2306 -49689421
840 442 450591778
1865 1176 951481679
1324 324 278274569
2218 1413 336510490
483 425 -466279163
1100 1752 244233018
120 221 343162561
2234 2171 656104956
371 1078 -359176276
560 1171 -58692386
963 281 -260721018
1207 92 275700744
54 1644 -474798606
633 1331 194374236
972 1545 -272004222
1355 900 969230784
968 53 62527160
1247 322 -477146127
1803 991 617734412
1158 1864 714913432
695 1774 -317869989
2284 568 774415682
677 1638 299245256
2178 1941 526902309
1620 1332 -287068493
1952 332 375373684
1195 1615 20114369
1703 1926 -108670206
1080 972 -258949928
869 400 510327989
1791 712 894492362
1934 2489 -273738919
1057 1470 337871412
2155 372 180684327
1927 1270 416861027
6 1532 -372028535
1446 1778 150639278
770 1475 -114162327
521 104 -467516282
84 2102 649078503
1771 1354 -300852589
708 900 -237912499
2083 1013 -234315928
1635 1872 -80419223
647 258 692921272
1905 1854 -28976380
1231 2361 69006439
370 660 31552676
2160 1824 467152275
2320 1700 -209207783
823 1326 -272514299
1641 877 -376632010
1899 1625 279247854
1903 1762 -307995155
350 519 160433162
256 79 494689729
426 207 -53260402
2494 2255 -456829070
1993 1920 -234456699
178 2224 471917521
2437 1433 -361582837
934 317 204260443
158 1253 -133983827
1008 547 -380819057
1311 2430 -298112944
2014 1337 147514428
218 728 -452586467
696 2115 -307468822
1327 1648 417533660
1717 1879 738772243
772 1421 875307924
1314 2086 969344168
554 1634 681551976
1919 724 948823077
620 1641 646509509
1360 713 545372267
383 744 425643846
16 1109 713109473
2419 1062 252681267
1304 1051 719058431
751 1083 906389828
1137 1300 253687745
548 1583 -378468246
1190 724 806046034
1001 1131 793940106
503 1883 146481595
1402 424 707986431
1074 1138 361621008
1389 12 39349561
1106 902 999405391
516 774 -252623246
589 2099 143526914
2 934 1567829
719 2097 -94439331
1153 624 488355663
1638 1382 -25809065
1088 786 -12849067
1467 2172 35869157
1086 2183 934393113
2323 1758 645758440
2132 217 187959832
1481 1764 42379448
782 1094 685795638
916 1020 696340488
2116 1731 649927569
2044 2278 586416902
2402 1443 299333967
1900 2405 337462355
437 746 842846272
1150 631 59513749
725 1015 346220017
1913 1808 594248041
704 2211 -262798654
1754 2068 -240276823
338 1986 -73632348
2099 1099 -186998997
857 1293 796464924
575 2272 841791587
2466 1922 693911818
2360 404 2934794
1205 1903 -496536458
33 1885 -148662525
2388 2001 209258732
2380 1127 189193327
361 696 800611577
287 292 13253935
2440 712 -208206846
1495 1313 -107048787
1428 380 314370095
1872 2076 -260507217
1397 102 211464529
1859 693 885446222
814 243 414519063
1237 1570 95899754
1161 86 826390927
1059 958 157334886
292 811 304037217
1659 201 -348929817
2054 1345 481245738
1625 1738 -472455640
2064 432 203293376
1113 1702 -151368042
515 1891 394964194
1106 1712 -359640168
1283 276 868107933
1240 1691 -263708969
2178 121 834892606
1033 2088 -106014729
1528 910 -101240608
1235 1287 598650933
2390 1949 -314822898
2283 2379 233773198
1165 321 828024628
2379 2381 202009276
2340 227 -452281644
819 2355 -470963611
1682 1419 -455241856
1388 2203 -484678926
878 2122 -357283437
2296 1228 98431963
1022 301 823876057
1123 1240 613465902
666 1762 48906226
1991 2215 315164969
392 1937 794517342
2154 612 640962007
2094 1513 -244746931
1274 2158 -53365201
2087 1649 -388010151
360 1683 -300807407
2208 939 -236336135
1144 576 -380214384
268 202 518022251
2106 781 566041549
2462 1401 741778456
517 2368 506118184
667 1767 -86095203
1894 1499 869144188
243 2168 730890218
584 1040 832457656
929 2004 56217168
2060 1614 816838581
1855 1828 451004075
1310 168 766464355
1294 2432 61998705
2182 2113 -325340550
227 614 -85165198
359 2196 295475405
2426 1206 306832953
911 1994 602782509
1585 1496 67613979
446 1540 866335118
1434 608 485057627
1963 77 862183361
2024 368 903818919
2111 790 -109529542
639 276 105190614
2320 1826 310171736
1108 1178 925033981
689 1937 -219318291
23 2348 -423307094
1627 2218 -337048398
1690 2161 973939071
181 1682 -433950937
766 2448 873400507
1186 1184 -174472616
760 530 -255119004
1756 650 920926423
386 2085 -77092562
1139 1204 -165044921
2463 1243 883375026
2173 1058 99339014
143 1073 -167073633
1029 2162 -358021424
1229 1507 274388548
1127 2125 -326671106
1789 1119 324408459
2487 810 974426583
342 638 816478741
754 1008 33955062
2262 1840 610928724
1283 2309 189031080
1744 1360 -173468702
701 260 96079184
1126 1938 909944865
419 2453 230451817
2437 726 187001738
1387 2384 358623129
1245 1035 610309769
1014 712 22586095
1018 2100 344652276
674 1415 557844014
1803 1848 -289913423
1872 2219 258615176
2446 1857 507731979
1397 406 -197457601
682 278 -425265686
2209 704 709872269
846 1392 -281035471
1503 1726 794309188
1855 2016 874014753
1451 851 445060739
1573 1177 131586032
1752 1077 -147642481
1497 381 902755354
253 1210 151249393
546 17 58976769
1730 1130 464262902
2442 2427 915708824
1224 1104 303010734
2121 1734 557901230
1222 949 861000125
1094 837 -23078246
137 381 660300904
1351 100 867752225
1209 2158 253890730
1977 2029 -69562832
842 806 18609867
1533 1936 97775021
431 863 490369701
930 2410 545713317
193 1554 790703623
822 2222 -39527287
1691 449 387979672
1532 1500 614792763
1925 2009 264026423
809 2028 542413180
2452 719 56450347
1029 2268 516085602
550 1459 92535079
2057 776 275679102
933 915 -420806987
839 1851 -386844028
2351 1510 271079687
2229 2122 -59193126
1204 1477 -263510042
603 1346 -47643808
915 1507 216413126
1511 1529 593323496
1351 740 -194586461
9 2490 -12078729
2394 1295 -146503369
2381 2391 -291456504
2153 2038 -106089745
370 1720 117357196
1515 80 793663389
836 198 777923573
1741 2046 457881602
2485 5 -199507725
1346 26 -350536041
492 777 487010428
263 343 515065848
1645 1213 -66302546
1945 2444 -43142856
1130 979 497479045
331 261 237475432
1712 173 286997730
2410 1074 772691344
1210 1941 -404809697
211 2075 -82701972
1533 1886 43707017
1504 1787 -240379465
34 1378 -194215524
1212 1637 743450920
243 2199 819770398
2245 145 367794351
1243 2210 651827684
2264 842 -468523466
1699 450 797631919
368 1888 42079503
544 1057 6960118
1622 2029 707275825
2190 1853 393284834
1796 1949 637256985
1351 2340 74717113
2098 1985 970186881
346 618 -395300428
2402 732 110140774
2288 315 -52279790
1794 1109 652115606
1485 393 -353959599
1164 846 257795860
111 105 -20536261
2277 434 771931146
1705 2171 323199212
1129 1393 830116678
1882 762 -340199275
730 2347 590473143
2177 2326 906491410
1297 210 124166588
544 1763 -440159526
426 219 243869076
1813 786 -288529294
2342 1369 -446407828
595 728 -139320133
1180 1929 933565637
1392 2368 556514081
1041 386 466320767
1625 2270 -80124349
2439 1875 571776606
343 1602 -98617884
697 36 -108962923
1779 999 303360415
368 1838 406639410
1051 2314 510633492
589 1318 -349250912
2455 2331 -440356895
2199 2064 235916753
1982 1861 408999354
1726 1638 333497244
974 2231 627603295
1422 279 407516660
1755 1946 167967537
19 413 215442786
164 2378 141921139
1750 293 449495689
1904 2128 469356797
1896 2392 187799327
782 757 686817811
1946 1648 -161247628
2463 1588 804157386
1062 237 -336481750
1178 2467 -471315001
1060 1525 562930127
210 1877 28761492
708 1099 773500127
691 2347 -103951414
1644 1506 697772943
1042 1930 911185988
1925 342 658587887
2319 887 340373288
778 1695 358971693
2157 1198 754927778
774 863 780448623
756 1760 974118449
1883 713 -109148781
377 62 -342400094
136 2229 222900359
2034 148 206635648
1598 269 500624447
2480 1708 -443008032
1407 1007 -21080909
313 1820 -304812879
1190 2324 407907094
1698 666 311919181
1823 1598 507821797
1597 1922 725477245
166 2193 302330106
1669 1148 -255299905
2297 906 339932648
1281 1298 858968369
561 209 731188572
1774 1121 -172870203
528 1866 -190559524
825 2053 815012422
53 2239 -333320992
1102 1159 196760621
616 905 762361846
758 1697 493286641
1582 777 -437641227
687 1254 814427059
151 958 624689463
437 445 131466057
1124 2297 361818764
770 190 918215088
964 1282 389453607
2222 1500 37374766
460 1289 520151901
237 762 233290994
2320 487 -24851215
626 1865 57926627
377 367 577275759
1109 2246 -376514446
2024 2104 799518125
22 1916 65185216
282 228 115288840
1894 1415 -26864332
2274 103 663469883
310 959 990856440
2101 2257 809538229
667 693 -193572202
2416 1947 441708679
2339 2150 898686495
663 1853 -473150684
1133 811 -395702066
873 1839 -56268031
297 2399 -38123060
1077 1255 749951296
2134 956 -333102787
1279 2325 349249865
1551 436 879382161
2294 501 66159787
1757 2365 -469453725
1977 110 14835010
928 1062 -143167682
824 1698 616720852
2200 697 41492893
2118 1252 316879783
1677 1494 -384153762
1399 2196 860681726
328 1383 428383201
305 2126 696079558
1310 1473 -201760963
2418 502 -109591193
1916 302 556101488
1633 1468 90367188
1407 412 -195810112
2027 2127 585554743
1591 1973 -102450562
1196 668 -495094161
874 2 -474373290
1617 2014 77457257
2238 237 429422112
2365 1039 258584621
443 1301 939978953
1540 1916 731438597
1284 1847 579147031
1696 1172 -124514292
2035 1841 215012620
812 429 704694512
966 402 844018616
77 1553 513759255
861 706 -334338216
285 1048 311577400
21 2429 -422885885
325 2313 934380432
1432 535 810559062
220 585 -114919830
590 313 676950382
413 30 851343875
225 1057 447200042
1404 1734 801632937
44 1804 280015053
2467 1818 -405479864
381 225 136544377
1900 2287 125914045
1345 1627 761803459
1606 2190 186485314
607 208 863399314
1484 966 945090433
1079 1427 585173170
524 1250 -427512087
1490 683 -395190189
25 2030 23584831
370 2436 495224420
554 275 282426573
2234 1898 -28739614
2038 1846 -461616508
727 1083 351049239
2155 2351 738954015
2315 693 318546862
912 2297 498985200
1413 2264 983921573
1249 2300 264770672
1272 244 907191736
2174 330 425362549
335 2036 176118874
1968 878 945556437
2315 1086 -296975501
324 750 847956559
719 1726 615583704
1657 146 -379087395
1217 486 128351559
168 2243 -4157183
902 2483 455133599
1184 2149 989536395
1988 979 -86591286
1673 1192 494041578
682 1903 -194082231
1893 745 588181303
2451 7 94218431
1139 1635 -29523014
1844 488 942215965
940 584 843584641
332 1710 750454021
2214 397 630367572
227 39 -379512815
1121 509 -119339487
728 751 -435102219
1289 162 413835150
2270 2111 611422194
2219 1981 -424398124
1684 2175 254463685
1932 356 349508163
1795 77 852592104
1094 1696 481117371
1211 2194 412907321
859 1638 369155807
70 1352 -196317145
278 252 535413892
705 96 614187765
1356 970 725610004
1979 547 920220563
1057 1768 848411661
338 1123 -47000160
1039 1101 523853313
1115 1570 509476467
1492 2085 128260387
1401 1545 378744741
1666 1660 621698616
742 1739 140012948
443 441 -395169362
343 2173 559607485
2280 2368 66140735
217 1978 -294114210
2009 281 -227822430
875 1193 46441639
249 329 802818089
1941 932 720685591
2127 1079 619398770
798 1225 648637008
2145 167 642766109
231 545 416447218
870 1944 276500479
1221 417 587715532
1781 2036 424833684
1100 909 930002416
1305 2240 860743386
2343 1962 -477644668
577 2226 -12015780
553 1120 274338418
1524 484 23481145
842 297 -413328348
1927 1826 721575311
870 1584 457509329
1795 2230 992933366
804 1126 135195753
1328 273 704045137
990 2182 149290555
2102 1179 13704970
413 1798 160436165
744 1179 593618253
395 2248 448597808
1728 1226 -420019735
1242 881 225502223
894 105 -98695903
1571 1281 59525720
194 1999 58290113
2102 950 688564107
2414 789 -138728173
1442 2076 -35384638
1078 338 692156449
2050 411 412338339
2162 328 993155725
1785 1127 689224074
2078 1650 886767134
1154 248 824708019
2289 1291 792487809
1227 1379 577879556
2026 456 -312653370
55 1467 711252241
2474 329 -108094599
2293 1865 929667673
733 1544 335669229
2486 875 -155490575
1605 525 621077197
1580 2106 -393596210
2041 717 18087773
1813 123 911134999
1637 2423 181932053
1075 1696 168729680
1424 2248 -317885076
1286 413 271051029
758 2231 832662545
955 463 324645353
934 1162 -438687337
1284 1023 83117647
1373 250 96062560
2059 56 -469171808
219 2147 470647599
129 1025 -360698385
1698 647 116575434
2146 1560 736996195
1427 218 354776971
1595 178 950692107
492 630 -55485897
2045 1133 -252765512
652 1612 663128787
2088 746 -92641333
1848 2141 897424173
998 114 210956377
1459 222 833929619
723 1812 -298237134
1477 910 -153955630
1912 2184 38296500
2076 752 245858943
1054 418 164005937
2161 1229 425153660
881 1499 816779125
1059 447 277322192
181 1504 -449629595
654 29 268499082
866 1832 40509142
1401 922 74878873
1450 1095 498725865
29 1404 -88963198
2430 2413 839689722
503 685 896991386
908 1449 -30129740
1927 513 836288352
2227 403 -400938500
1917 1233 54562304
758 1705 936365328
1190 1996 890567611
2120 1975 -385341528
1179 2138 378245562
2463 2419 -86927014
359 2447 -472089810
2152 2288 467051954
1273 2355 -436041120
1903 316 108191118
1242 806 -331460771
1851 2336 -275075602
512 893 76359403
1339 1055 237783287
178 2448 291409089
478 31 -36867433
444 2392 798465685
1855 2379 33849497
896 1512 893522502
342 152 523610573
450 1535 -297183508
2353 2040 -296089555
726 846 -140932327
269 414 -73067610
1137 559 865859461
1688 1799 398315400
1430 294 -478011916
335 1097 -294503374
2480 302 -247860807
729 1182 651120826
1782 1801 360466134
825 2317 462556719
1062 279 -283629348
1906 603 -3712514
1929 2428 108462018
1214 443 720293073
2114 368 457795261
1566 1553 -79822564
1620 1491 411516612
2044 2434 595488058
74 2050 271423546
1459 617 70219162
2041 1320 174959032
1703 1671 -431863828
1393 686 174516545
1335 323 -165658427
1077 1107 619757990
1313 569 -198435011
2159 325 599313278
812 1167 -383080729
1506 1869 185160649
705 1374 -70331302
2263 956 611056527
1674 391 467589037
1212 1844 974978590
1597 795 138774607
907 2086 11874056
442 397 883839540
941 1042 919194120
431 2170 643275590
837 2074 -340908944
1390 650 597369755
560 1316 890787392
623 1469 110153321
681 781 -139921841
348 2227 -235216986
2268 89 502110391
1641 1386 812252596
1934 1396 516160587
221 1964 -279644605
1012 1364 -270133379
1345 2323 301353163
2092 2415 833744230
26 834 853683635
562 231 510004517
1442 1526 580785992
232 1698 -88023698
2362 1230 715025031
449 2036 -213573777
1983 680 544356672
797 1746 895470635
2465 423 192861254
406 2390 526497136
1698 56 318108884
1440 2102 956742846
2290 2073 873564287
1648 1765 -159012049
1993 1529 795618112
1738 2201 939650330
763 833 383148021
1172 268 -268717287
1732 906 706489390
1479 847 -260980978
2431 1351 -266465929
311 514 -440016176
107 680 158068036
1235 978 -301174820
1180 1430 959366955
643 1359 946755264
1713 705 380255913
1216 58 -171985754
2221 282 59583326
538 2436 628653726
1945 974 -343280153
813 1896 361318024
1632 2390 -82699064
2230 1862 -221407971
486 1115 372370623
2287 874 -219043600
1126 1789 207532555
1305 2493 -205678212
544 1681 164645681
2131 544 -296711612
902 1420 -393940338
1284 2205 846280347
1067 1611 336523838
378 1409 51181628
1597 1918 137834459
1495 820 970171480
1469 1957 246163572
449 557 890747746
946 1861 663992723
2429 1321 139599197
1155 553 -278074568
254 567 153675858
893 1365 -294727626
613 1691 203683814
1167 1852 194454284
799 2287 -374690658
1141 2115 626058253
161 419 461483492
1789 1903 713965206
145 724 884070494
80 73 -198453874
1549 697 170059033
355 944 408657657
116 1791 -478930177
461 345 816197390
419 511 426136081
1077 394 -144138173
809 1205 578123757
636 77 444031669
2186 1576 -86258341
2252 24 156143858
1397 2457 483841966
667 751 965732476
728 1415 342759021
141 1666 864557911
2228 1699 914328645
1139 37 21032221
735 450 647596742
1296 298 -491808195
343 578 -171719616
174 1668 22009955
124 1126 -166556705
381 2201 123208398
1689 1618 257005746
576 45 456662990
1503 1573 159037071
425 1007 704290690
1521 29 349168073
682 1937 333367463
117 1763 895158088
736 773 585942217
1878 979 -408729224
4 867 -499343274
650 1975 573150012
1372 1688 540651381
549 138 50867475
1021 1260 25138301
214 121 274774092
2042 2417 979541667
2457 1138 -303097985
589 1989 490010024
1051 1827 347441065
1602 786 259949528
2208 1268 339126907
2068 770 -370281924
539 2273 784248027
1475 2251 943527609
680 1238 -428836906
1917 1683 253587190
2191 1736 -257548296
997 1964 -265729886
1036 2007 28995978
670 2380 963216344
1783 2010 -224850869
78 232 50271807
1426 7 -372731656
1428 112 194056314
402 1997 56784219
1716 1396 -363733778
2004 1793 132289714
2464 2040 54593856
1132 1870 823964471
326 1792 -392502191
1859 854 350550612
929 519 -350845132
2075 490 765168084
2386 1702 739329945
2232 471 -372897904
262 1750 154512195
706 1490 807716203
1228 1776 -319006090
813 2043 898517313
1713 1774 -119241345
59 208 -439515702
1779 788 817679354
631 309 198956717
868 1337 -95706139
633 440 -454781989
2331 1587 402454684
1821 314 594151893
1585 1543 871920078
193 1427 513092790
1036 269 483435096
2110 196 508396414
1620 1172 496703499
1576 676 529241104
1070 132 250557033
415 2494 -316720185
521 1674 -348785188
2262 1433 133948505
1471 2313 -274270721
1908 515 370790913
2100 1799 -347088734
2330 573 433858193
1235 1890 147944160
2141 2212 607095190
2490 2443 159551637
2278 1573 -25468583
2011 738 936946401
1780 1870 904210319
357 1861 -209590218
2261 705 -334809854
1254 757 -15619432
1680 2337 278557757
1093 1794 479847407
1226 2040 878592092
586 526 893654316
1858 943 -380086366
1902 1419 -481297042
1990 1216 166228881
2298 666 291669635
1943 653 621314699
2196 1467 -233372568
2112 533 398814577
1671 2115 -385965318
2028 2151 449718618
2404 189 899418002
1205 590 981460286
277 870 -174563005
1923 1769 -414424211
529 1555 956321580
1860 1337 -146878498
1403 1535 831802770
773 746 556147077
7 1799 880357069
1763 459 -208645996
1042 1349 -391218010
1848 1121 -329869453
1164 430 -377723934
1763 2258 935699208
714 1421 659232925
658 1420 413508515
724 443 767212597
1849 922 413982577
1956 1765 298068299
1249 2321 -199235950
2407 782 -400949143
2111 726 -177295630
2387 2178 -142879363
487 1702 -211357919
2413 1917 366286487
1250 1722 -321761885
1846 2236 -406814390
945 1285 -66018835
1300 2161 817705269
1178 459 156462881
1521 2360 -249611993
1272 1793 731457859
1683 632 631405493
168 2467 302033853
1046 1909 -121763875
337 8 -245801215
1773 1707 -150788087
2145 915 422829083
1076 671 -362349298
1245 2192 -367724320
230 2479 264989698
1063 1764 600526031
1904 1522 -428296434
1042 2159 214729814
130 1498 502359006
1175 1783 911978728
1530 1000 638961899
1629 846 666240359
866 1121 -449405932
2049 2481 92819010
2263 1676 295393700
1088 392 835472662
33 2485 256925968
89 2111 214184153
1410 1261 -396843328
393 1604 -88491972
1535 1041 250839030
1877 574 300079448
256 712 105423966
2131 400 513959347
629 5 -260677564
1657 941 432813825
214 2492 293212003
1017 1060 795173816
1296 1106 -170865507
1342 1933 -145153066
942 1466 140001098
49 167 661145322
2174 580 -440126903
331 132 -308502725
1848 1883 388441156
366 651 -239078099
437 1402 -104768485
569 1726 284813945
1048 676 859704490
1465 865 142366221
431 43 623562251
1187 1019 798644822
665 1434 -304521275
2191 2259 872228923
738 623 164938120
2026 1131 922464443
568 222 -135734389
2463 2481 209642277
1138 1186 162085124
837 980 141515393
2265 2207 568728320
261 37 84949961
1059 1345 278968645
528 336 784846413
2410 1132 50376937
1783 1768 54449392
1598 1159 -283593531
959 1959 -41128182
11 799 501283300
2064 631 942595736
2100 476 -461827190
284 172 108753269
2310 991 737360935
69 443 990779926
2151 244 718307274
2145 1987 -425119446
1112 717 309216388
360 1561 597214808
2475 2259 455619917
614 595 637737480
790 2461 617500860
1852 258 -482879431
1076 1353 391067190
2234 1368 143596743
2114 664 481324858
99 577 -32379576
833 2004 217361282
2318 1054 -350219933
902 2004 508584069
1537 724 52022130
217 1954 171639182
1810 1917 933542793
1537 251 958644085
1182 539 474259170
1785 319 793457514
1001 7 647759943
2304 1469 469009183
435 386 257016775
1202 518 827077522
1697 8 -486295691
1640 774 327188462
1069 681 286536205
334 942 27817567
1356 1843 -208578926
75 180 991227843
2329 1993 337994134
1037 1403 180342902
774 642 283594999
1626 366 588619390
2401 2022 970951930
723 2029 800686706
1126 1091 663459099
1430 1715 -474932783
1381 1417 931329735
1404 1241 -308203528
257 144 494558038
1730 17 98471274
88 1134 -367481057
1170 1459 -260831775
2063 471 -448313394
103 2308 225014635
2360 1953 -280935498
475 1701 288657919
2168 2153 517580857
95 2163 -361367519
213 583 -201053386
79 2259 -76873125
143 1000 150734334
